N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한국타이어앤테크놀로지,"40,450","1,700",+4.39%,500,"50,107","123,875",39.71,"695,698",19.47,6.03,
60,유한양행,"74,900","2,300",+3.17%,"1,000","50,076","66,857",20.63,"573,965",28.85,2.43,
61,현대건설,"44,750",850,-1.86%,"5,000","49,832","111,356",18.96,"1,936,960",21.82,6.30,
62,금호석유,"163,000","2,500",+1.56%,"5,000","49,662","30,468",28.90,"155,380",13.95,11.84,
63,아모레G,"60,200","2,000",+3.44%,500,"49,640","82,458",19.86,"344,484",212.72,4.12,
64,HMM,"15,100",250,+1.68%,"5,000","49,336","326,726",7.42,"3,944,153",-48.71,-55.46,
65,오리온,"122,500","2,000",+1.66%,500,"48,432","39,536",41.77,"103,069",17.69,14.24,
66,한국금융지주,"86,600","1,100",+1.29%,"5,000","48,259","55,726",30.31,"511,420",7.92,18.14,
67,녹십자,"392,500","5,000",-1.26%,"5,000","45,870","11,687",20.27,"114,371",105.28,-0.35,
68,한진칼,"68,100",0,0.00%,"2,500","45,125","66,263",15.31,"110,098",-11.23,-17.56,
69,LG이노텍,"189,500","2,500",+1.34%,"5,000","44,849","23,667",32.73,"262,566",34.35,4.73,
70,삼성중공업,"7,070",70,+1.00%,"5,000","44,541","630,000",15.32,"5,311,103",-3.57,-21.88,
71,한미약품,"369,500","9,500",+2.64%,"2,500","43,760","11,843",13.57,"78,174","-3,587.38",7.30,
72,현대중공업지주,"274,500","3,500",+1.29%,"5,000","43,367","15,799",17.65,"58,995",-16.63,2.20,
73,SK케미칼,"362,000","2,000",+0.56%,"5,000","42,504","11,741",17.59,"87,514",16.52,1.51,
74,현대차2우B,"113,500","1,000",+0.89%,"5,000","41,411","36,485",60.81,"285,972",27.12,N/A,
75,삼성증권,"44,000",50,+0.11%,"5,000","39,292","89,300",25.79,"567,846",8.35,8.15,
76,CJ대한통운,"171,000","1,000",-0.58%,"5,000","39,009","22,812",21.21,"52,915",30.83,1.41,
77,맥쿼리인프라,"10,400",0,0.00%,0,"38,708","372,192",13.93,"531,708",N/A,N/A,
78,롯데지주,"36,650",50,-0.14%,200,"38,449","104,909",11.31,"207,579",-5.36,-5.21,
79,SKC,"100,000",500,-0.50%,"5,000","37,868","37,868",7.83,"296,564",44.39,3.86,
80,삼성카드,"32,400",200,+0.62%,"5,000","37,538","115,859",10.46,"137,271",9.11,5.04,
81,GS,"40,200",150,+0.37%,"5,000","37,352","92,915",19.49,"359,551",-43.60,6.26,
82,키움증권,"155,000",500,-0.32%,"5,000","37,244","24,029",22.17,"184,865",6.84,16.97,
83,TIGER 200,"43,725",450,+1.04%,0,"36,685","83,900",1.47,"1,203,344",N/A,N/A,
84,만도,"77,900",500,+0.65%,"1,000","36,580","46,957",26.16,"1,346,760",-65.96,7.55,
85,LG화학우,"470,000","9,000",+1.95%,"5,000","36,137","7,689",61.75,"70,124",43.91,N/A,
86,두산퓨얼셀,"55,000",300,+0.55%,100,"36,022","65,494",18.62,"980,035",161.29,N/A,
